epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
122,7795.3,0.46679,0.23146,0.00874,0.95275,0.87637,0.93549,0.79285,0.5923,0.24067,0.01293,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014
123,7857.29,0.47116,0.22729,0.0087,0.95977,0.87399,0.93231,0.78954,0.59105,0.24093,0.01285,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948
124,7920.03,0.45999,0.22553,0.00851,0.94558,0.88103,0.9345,0.7923,0.58955,0.23492,0.01277,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
125,7983.36,0.45046,0.22047,0.00847,0.95576,0.88356,0.93544,0.79549,0.58922,0.23193,0.01278,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816
126,8045.81,0.45954,0.22996,0.00856,0.96626,0.87927,0.94556,0.80207,0.58873,0.22993,0.01276,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
127,8109.05,0.44582,0.21445,0.00832,0.96541,0.87968,0.94405,0.802,0.58902,0.22972,0.01277,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
128,8170.98,0.45334,0.22071,0.00833,0.95651,0.88232,0.94333,0.80229,0.58891,0.22988,0.01277,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618
129,8233.92,0.45219,0.22384,0.00835,0.96767,0.88128,0.94332,0.80147,0.58989,0.23591,0.0128,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552
130,8296.35,0.45492,0.22637,0.00844,0.96786,0.87706,0.94355,0.8013,0.5899,0.23673,0.01282,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
131,8358.44,0.44618,0.21622,0.00817,0.9726,0.87818,0.94377,0.80198,0.58998,0.24051,0.01283,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
