epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,1473.47,0.71994,0.50715,0.01408,0.87447,0.84591,0.9131,0.72846,0.69843,0.34275,0.01506,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,1500.47,0.71428,0.52323,0.01402,0.8549,0.85021,0.90757,0.73704,0.68881,0.34648,0.01485,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,1527.59,0.70526,0.51488,0.01395,0.88943,0.84859,0.9069,0.71982,0.70428,0.33824,0.01494,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,1554.37,0.69689,0.51162,0.01357,0.92723,0.83124,0.90707,0.72806,0.6906,0.34001,0.01474,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,1581.29,0.69792,0.51234,0.01365,0.88162,0.85945,0.9083,0.73088,0.69084,0.36941,0.01492,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,1608.03,0.70027,0.52238,0.01372,0.91615,0.85341,0.90794,0.71773,0.68119,0.35492,0.01441,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,1634.93,0.69482,0.50675,0.01384,0.93703,0.8366,0.91953,0.74013,0.6699,0.33853,0.01452,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,1662.37,0.67824,0.47718,0.01315,0.91814,0.87,0.92374,0.7141,0.69008,0.33234,0.01407,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,1689.08,0.68074,0.47865,0.01311,0.90043,0.86272,0.9273,0.73325,0.67195,0.3292,0.01386,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,1716.42,0.68361,0.47396,0.01348,0.90744,0.84871,0.92127,0.74624,0.67094,0.34239,0.01439,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,1743.59,0.67469,0.46961,0.01308,0.82512,0.88387,0.92096,0.72955,0.6764,0.34599,0.01426,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,1770.55,0.6773,0.47733,0.01305,0.89276,0.85545,0.9286,0.75004,0.67025,0.33315,0.01437,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,1797.66,0.67107,0.45421,0.01312,0.85352,0.91174,0.93262,0.74242,0.68193,0.32073,0.01421,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,1824.65,0.66514,0.46758,0.01299,0.88644,0.87633,0.94314,0.75813,0.66941,0.32491,0.01432,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
